sceau,toit,nez,mât,rat,lit,chat,gant,feu,pot
tasse,tête,tonneau,diamant,taurreau,tuile,dongeon,dague,divan,taupe
noce,note,naine,nem,noir,nouille,niche,nougat,navet,nappe
maison,mouton,moine,momie,mare,moulin,mouche,muguet,mauve,myope
rose,rateau,renne,rhum,rire,rouleau,rocher,requin,ravin,ruban
lacet,lutin,lune,lama,loire,lilas,luge,lac,lave,lapin
chaise,chateau,chaine,chemin,char,chalet,juge,cheque,cheveu,chapeau
caisse,couteau,canne,camion,car,colier,cage,cake,cave,cappe
vase,fête,vigne,femme,phare,filet,vache,vague,feve,vape
bassin,bateau,panier,pomme,poire,ballon,bache,bague,bave,bonbon
danseuse